marital,age,sex,race,hompop,happy,health,satjob,fincome
2,89,1,1,1,2,0,0,63195
1,77,1,1,2,1,0,0,16277.5
5,24,2,1,4,2,2,1,51705
1,72,2,1,2,2,2,1,63195
2,70,2,1,1,2,2,2,12447.5
1,84,1,1,2,2,0,0,42130
3,73,2,1,1,3,3,0,8617.5
3,57,1,1,1,2,0,0,18192.5
1,47,2,1,3,2,2,2,178712.4649
5,49,2,1,1,2,2,3,3447
3,51,2,2,1,2,2,1,21065
5,53,2,1,1,2,2,0,21065
4,65,1,2,1,2,2,0,10532.5
3,55,2,1,1,2,0,1,10532.5
3,57,1,1,1,2,3,2,14362.5
5,38,1,1,1,2,2,3,24895
4,49,2,1,1,3,3,4,34470
3,54,1,1,1,2,2,3,28725
5,21,1,1,3,1,0,2,51705
5,20,1,1,2,2,2,1,10532.5
1,76,2,1,2,2,0,0,0
2,66,1,2,1,3,1,0,6894
5,43,2,2,4,2,0,1,24895
5,55,2,2,4,2,1,3,34470
3,28,2,1,1,1,0,2,28725
1,45,2,1,3,2,2,1,51705
2,81,1,1,1,2,0,0,16277.5
2,76,2,1,1,2,3,0,42130
2,45,2,1,1,2,0,1,16277.5
1,62,1,1,5,2,2,2,42130
2,62,1,1,1,2,0,3,34470
1,29,2,1,2,2,1,2,51705
1,31,1,3,2,2,1,1,91920
5,32,1,1,3,2,0,2,0
1,41,1,1,2,1,2,1,63195
1,30,2,1,6,1,0,1,63195
2,64,2,1,1,2,2,0,28725
3,50,1,1,1,2,2,2,0
5,22,1,1,4,2,0,1,178712.4649
5,22,2,1,3,2,0,2,8617.5
5,54,2,1,2,2,2,1,14362.5
2,76,2,2,2,3,0,0,24895
1,66,1,1,3,3,3,2,42130
3,64,1,1,2,3,0,0,51705
1,56,2,1,2,2,0,1,0
5,19,2,1,2,2,1,0,34470
1,45,2,1,4,2,0,2,178712.4649
1,47,2,1,4,1,1,2,0
5,20,1,2,2,2,1,0,34470
1,44,1,2,5,2,0,2,21065
5,24,1,3,2,2,2,1,34470
1,49,2,2,4,1,0,2,42130
3,67,2,1,1,2,0,2,63195
3,48,1,1,1,2,0,2,28725
4,47,2,1,2,3,1,1,4979
1,75,2,1,2,2,2,1,51705
1,76,2,1,2,1,2,0,42130
3,51,2,1,2,2,2,1,34470
1,37,1,1,4,1,1,2,76600
5,43,2,2,3,3,0,2,63195
5,22,2,1,1,1,1,1,24895
5,41,1,1,5,2,2,1,63195
5,24,1,1,5,2,2,2,34470
1,43,2,1,2,2,3,3,0
3,66,2,1,1,1,2,1,18192.5
5,47,2,1,2,2,3,2,18192.5
1,50,1,1,2,2,1,2,34470
1,57,1,3,3,2,3,2,14362.5
1,56,1,2,3,2,3,2,51705
5,22,2,1,4,2,0,2,42130
1,61,1,1,2,2,1,2,91920
1,26,2,1,3,1,0,1,178712.4649
3,42,2,1,3,2,1,1,28725
1,87,1,1,2,1,1,0,0
1,32,1,1,2,2,2,2,107240
1,42,1,1,2,1,1,1,178712.4649
2,89,2,1,1,2,0,0,21065
3,55,2,1,4,2,2,1,63195
3,38,2,1,7,1,3,2,28725
1,62,1,1,4,2,3,0,42130
1,51,1,1,7,2,1,1,91920
1,27,2,1,2,3,2,3,12447.5
3,36,1,1,3,2,0,4,34470
1,34,2,1,3,3,1,1,28725
1,36,2,3,3,2,1,2,34470
5,29,1,1,2,1,2,1,14362.5
1,42,2,1,4,1,0,1,0
1,51,1,3,4,1,1,1,178712.4649
5,25,1,1,1,1,2,2,18192.5
2,81,2,1,2,1,2,0,91920
5,22,2,1,3,2,2,2,8617.5
1,45,2,1,4,1,0,3,63195
1,61,1,1,2,1,1,0,63195
2,79,1,1,1,2,2,0,28725
1,63,1,1,2,2,4,0,42130
1,60,1,3,1,3,0,1,178712.4649
1,54,2,1,1,2,1,0,178712.4649
1,56,2,1,6,2,0,3,178712.4649
5,21,1,3,5,2,1,2,28725
4,67,1,2,1,2,2,0,4213
3,61,1,2,1,2,2,1,28725
5,51,1,2,5,1,1,1,10532.5
2,72,2,2,1,1,0,0,28725
3,63,1,1,1,2,3,2,1532
1,78,1,1,2,1,0,0,0
1,45,2,1,3,1,0,1,76600
1,48,1,1,4,1,1,2,0
1,79,1,1,2,1,0,0,21065
5,30,1,1,1,2,2,1,0
1,32,2,1,2,1,3,2,34470
5,30,2,1,4,2,4,1,5745
1,44,1,1,2,2,3,1,34470
3,42,2,1,3,3,0,1,10532.5
3,64,2,2,1,3,2,0,16277.5
5,42,1,1,1,2,2,2,21065
1,42,2,1,6,2,3,3,178712.4649
3,46,1,1,4,2,2,1,76600
5,26,1,1,1,2,2,2,383
3,63,2,1,1,2,1,0,0
1,45,2,2,2,2,0,2,18192.5
5,33,2,2,5,3,2,2,34470
1,27,2,1,3,2,0,1,28725
1,50,1,2,4,1,2,2,178712.4649
3,68,1,1,1,2,2,1,28725
1,55,2,1,4,1,0,1,91920
2,58,2,2,8,2,2,1,21065
5,19,2,1,4,2,0,1,34470
4,42,1,1,1,3,1,2,0
1,38,2,1,2,2,2,2,0
3,63,1,1,1,1,0,0,8617.5
1,27,2,1,2,2,0,1,24895
2,71,2,2,1,2,2,0,16277.5
1,38,1,1,4,2,2,2,76600
1,77,2,1,2,2,0,0,14362.5
1,48,2,1,3,1,2,1,24895
2,74,2,1,1,2,0,0,21065
1,56,2,1,2,1,2,3,42130
5,23,2,1,2,2,0,2,51705
5,51,1,1,2,3,4,2,12447.5
5,47,2,1,3,2,1,2,28725
3,49,2,1,2,3,0,1,12447.5
5,22,2,1,2,1,2,2,16277.5
3,36,1,1,1,2,0,1,51705
1,38,1,1,2,2,2,2,0
1,22,1,1,2,1,1,2,51705
5,46,1,1,1,2,0,4,4979
1,63,1,1,4,1,3,0,10532.5
5,19,1,1,4,1,0,1,21065
5,52,1,1,1,1,1,1,34470
3,35,1,1,2,3,2,2,12447.5
1,64,2,1,2,1,2,0,18192.5
3,49,2,1,1,2,2,1,2681
1,45,1,1,2,2,0,1,51705
1,68,2,2,2,2,0,0,12447.5
5,45,2,2,2,3,3,2,8617.5
3,55,2,2,1,2,0,1,63195
3,62,1,2,1,2,3,1,6894
1,31,1,1,2,2,1,2,76600
3,54,1,1,1,2,0,2,76600
5,21,2,1,3,1,2,2,14362.5
1,23,1,1,3,2,1,2,1532
1,34,2,1,2,1,0,1,178712.4649
5,45,1,1,2,3,0,2,8617.5
5,28,1,1,1,1,3,4,16277.5
1,34,1,1,2,1,3,1,18192.5
4,74,2,1,1,3,4,0,6894
5,25,1,1,1,2,2,2,0
5,39,2,3,7,3,3,2,10532.5
5,38,1,3,1,2,0,1,28725
1,80,1,2,3,1,1,0,34470
5,34,2,3,1,1,3,2,12447.5
2,71,1,1,1,2,0,1,2681
3,33,1,2,3,2,4,2,0
1,32,2,1,4,2,3,1,12447.5
5,37,1,1,1,3,4,1,42130
1,41,1,1,1,2,0,1,0
5,32,1,1,2,3,0,1,12447.5
3,35,1,1,2,2,3,2,34470
1,61,1,1,5,2,3,3,76600
1,57,1,1,2,1,2,1,76600
1,71,1,1,2,1,2,0,18192.5
4,39,2,1,3,3,1,1,24895
5,30,2,2,2,3,1,1,6894
1,42,2,1,2,2,0,1,178712.4649
1,48,2,1,4,1,1,1,42130
1,32,1,1,4,2,2,2,76600
1,42,2,2,4,2,1,2,178712.4649
1,37,1,1,4,2,0,3,34470
3,29,2,1,4,2,2,2,21065
2,74,2,2,2,2,2,1,0
2,47,1,1,1,2,0,2,63195
1,41,1,1,3,1,1,1,51705
1,71,1,1,2,2,2,0,42130
3,31,2,1,7,2,2,1,42130
3,33,2,1,2,1,2,1,28725
5,32,1,1,3,2,0,0,12447.5
1,48,1,1,2,2,2,2,63195
5,50,2,1,1,1,2,1,42130
3,40,1,1,1,3,3,3,4979
5,27,2,1,2,3,0,4,0
3,35,2,1,5,2,1,1,28725
1,40,1,2,3,1,1,1,34470
5,33,2,2,4,3,0,2,14362.5
3,49,2,3,1,2,2,2,34470
5,30,1,2,2,3,0,2,21065
5,22,2,1,2,2,2,1,10532.5
5,21,2,1,6,1,0,0,2681
5,21,2,1,3,2,2,3,1532
5,23,1,1,3,2,0,0,178712.4649
1,67,1,1,2,2,0,0,34470
3,34,2,1,2,2,3,1,14362.5
5,18,1,1,2,1,0,2,0
2,76,2,1,1,3,3,0,10532.5
1,28,1,1,2,1,0,1,21065
2,84,2,1,1,2,3,0,24895
5,31,1,1,1,3,4,3,42130
5,25,1,2,1,2,3,2,14362.5
5,38,1,1,1,3,3,2,14362.5
5,37,2,1,1,2,0,1,10532.5
3,66,1,1,2,1,3,0,24895
1,72,1,1,2,2,3,2,18192.5
1,24,2,1,2,1,0,2,63195
1,49,2,1,2,1,2,1,51705
1,42,1,3,2,1,0,1,28725
3,48,2,1,2,1,1,2,76600
1,39,1,3,5,3,1,2,34470
5,59,2,2,1,2,0,1,0
3,63,1,1,1,1,2,0,6894
5,61,1,1,1,3,3,2,24895
1,48,2,1,4,1,2,2,63195
3,39,2,1,3,1,0,1,63195
5,32,1,1,2,3,2,4,51705
1,32,2,1,5,2,2,1,107240
1,27,1,2,2,2,0,1,63195
5,53,1,1,2,2,3,2,16277.5
2,88,2,1,1,2,0,0,0
2,86,2,1,1,2,3,1,34470
1,44,1,2,4,2,3,2,178712.4649
1,37,1,1,5,2,2,1,34470
3,70,2,1,1,2,2,0,21065
1,31,2,1,4,2,2,2,51705
3,57,1,1,1,3,3,1,0
1,63,2,1,2,1,1,1,42130
4,47,2,1,1,3,2,2,63195
3,41,2,3,2,2,0,1,63195
1,41,2,1,5,2,2,1,178712.4649
1,42,2,1,4,2,2,1,0
1,31,2,1,3,2,0,1,34470
1,65,1,1,2,1,1,0,51705
2,79,2,1,1,2,0,0,21065
5,65,2,1,2,2,2,0,21065
5,38,1,1,1,1,0,1,178712.4649
1,65,2,1,2,1,2,1,0
5,19,2,1,5,2,2,3,0
1,58,1,1,3,1,1,1,178712.4649
1,31,2,1,4,1,1,1,91920
2,36,2,1,6,2,3,2,0
1,29,2,1,5,1,1,1,76600
1,37,2,1,4,2,2,2,0
1,42,2,1,5,1,1,1,91920
5,26,2,1,2,2,2,0,12447.5
1,24,1,3,4,1,0,1,16277.5
1,75,1,1,2,2,0,0,34470
1,40,1,1,3,1,3,2,34470
5,30,1,1,3,2,0,1,16277.5
1,65,1,1,2,2,0,2,91920
1,56,2,1,6,1,1,1,178712.4649
1,40,1,1,4,2,0,1,178712.4649
1,38,2,1,7,1,2,3,63195
2,69,2,1,1,1,0,0,24895
1,64,1,1,2,1,2,0,24895
1,29,1,1,6,2,0,1,42130
3,49,2,1,1,2,2,2,34470
1,32,1,1,2,1,2,1,51705
1,55,2,1,2,1,2,1,63195
1,55,1,1,2,2,0,2,51705
1,83,1,1,3,1,2,0,24895
5,35,1,1,1,1,0,2,34470
5,42,1,1,2,1,0,1,14362.5
1,39,2,1,5,2,2,3,63195
1,23,2,1,3,1,1,0,21065
1,49,2,3,3,2,0,1,24895
3,58,2,2,1,2,3,1,24895
5,50,2,1,1,2,1,1,63195
5,45,2,1,2,2,0,4,12447.5
2,77,2,1,1,2,2,0,10532.5
1,34,2,1,2,2,2,1,16277.5
1,32,2,1,3,1,1,1,63195
1,61,2,1,2,2,2,1,76600
1,69,2,1,2,1,2,0,107240
4,56,1,1,3,3,3,2,63195
1,43,1,1,2,2,0,2,42130
5,20,1,2,4,2,2,0,0
5,30,1,3,2,3,4,3,0
5,57,1,1,1,2,0,1,63195
5,24,1,3,4,3,1,0,0
3,57,2,1,2,2,2,2,34470
5,22,2,1,2,1,0,1,34470
5,23,1,1,1,2,1,4,8617.5
5,50,1,1,1,2,0,1,4979
2,71,2,1,1,3,2,1,10532.5
5,25,1,1,6,1,0,1,34470
1,43,2,1,2,1,1,1,76600
2,84,2,1,1,3,2,0,8617.5
1,55,2,1,2,1,0,0,14362.5
5,29,1,1,1,2,3,2,34470
5,21,2,1,3,1,2,1,0
3,34,2,1,2,2,1,2,0
5,34,2,1,1,1,0,2,24895
3,83,2,1,1,2,3,0,6894
2,77,2,1,1,1,1,0,0
5,28,2,1,2,1,1,1,12447.5
2,78,2,1,1,1,0,2,12447.5
5,61,1,1,1,2,0,0,51705
4,62,1,1,3,3,2,2,91920
1,40,2,3,3,1,2,1,76600
1,27,1,1,3,2,3,2,51705
3,59,1,1,1,2,3,2,0
5,22,1,1,2,2,0,2,4979
5,60,1,1,1,1,1,1,6894
5,61,2,1,2,3,3,2,5745
1,31,2,2,3,2,2,2,76600
3,38,2,1,1,2,3,1,76600
1,26,2,1,2,1,0,1,51705
4,25,2,1,2,2,0,1,10532.5
3,78,2,1,1,1,4,1,6894
1,39,2,1,2,2,2,1,91920
4,40,1,1,4,2,0,2,28725
3,52,1,1,2,1,1,1,76600
5,70,1,1,1,2,1,0,42130
4,36,2,1,1,2,0,1,178712.4649
1,41,2,1,2,1,1,1,0
1,58,1,1,2,2,0,0,42130
5,29,1,1,5,2,2,1,42130
4,34,1,1,1,2,0,0,24895
1,84,1,1,2,1,1,0,0
5,54,2,1,2,1,0,1,21065
5,33,1,1,1,2,2,1,2681
1,26,2,3,3,1,0,1,34470
5,47,2,3,1,1,3,0,5745
5,59,2,2,2,2,3,2,2681
1,46,1,1,4,1,1,1,63195
2,88,1,1,1,2,1,0,10532.5
2,46,2,1,3,2,2,1,6894
5,23,1,1,5,2,2,0,51705
5,24,1,1,4,1,0,3,63195
3,63,2,1,1,1,4,0,16277.5
3,67,2,1,1,2,2,2,34470
1,28,2,1,2,1,1,1,42130
1,30,2,1,3,1,1,2,24895
5,19,1,1,4,3,0,1,0
3,42,2,1,2,2,2,1,21065
1,57,1,1,2,1,2,1,178712.4649
5,64,1,1,2,3,0,0,0
1,63,1,1,2,1,3,1,76600
5,22,2,1,4,2,0,2,34470
5,28,1,1,3,2,1,4,63195
1,28,1,3,2,2,0,2,63195
3,51,1,2,1,2,2,2,21065
5,37,2,2,2,2,1,2,34470
5,37,2,3,3,2,0,1,34470
5,28,2,2,3,2,3,0,18192.5
1,60,2,1,2,1,4,3,8617.5
5,31,1,1,1,2,0,2,1532
5,57,2,2,1,3,3,0,12447.5
1,0,2,1,2,3,2,1,0
5,30,1,1,1,2,1,2,34470
1,51,2,1,2,2,1,2,0
1,31,2,1,2,2,1,2,63195
1,56,2,1,2,2,2,3,63195
1,49,1,1,6,1,1,2,51705
5,19,2,1,7,2,0,2,0
1,48,1,1,4,2,1,2,63195
1,33,2,1,5,2,0,2,51705
1,46,2,1,3,1,2,2,51705
1,31,2,1,3,2,0,2,63195
5,35,1,1,3,3,3,2,42130
1,42,2,1,5,2,2,1,51705
1,30,2,1,4,2,2,2,0
1,38,2,2,5,1,2,1,4213
4,52,2,1,6,3,2,1,28725
1,49,2,2,2,2,2,0,14362.5
1,62,2,1,2,3,0,1,34470
1,54,2,1,3,1,3,0,24895
1,38,2,3,4,2,1,1,0
4,30,2,2,6,3,0,2,34470
1,53,1,1,2,2,4,1,51705
1,40,2,1,5,1,2,2,178712.4649
3,67,1,1,2,1,0,0,178712.4649
3,78,1,1,1,2,2,0,51705
1,66,2,1,2,3,0,0,63195
5,57,2,1,2,2,1,1,12447.5
4,42,1,1,6,3,0,1,51705
5,32,1,1,2,2,2,1,42130
5,20,2,1,3,2,1,3,21065
2,61,1,1,1,2,0,1,28725
4,55,1,1,1,1,2,1,1532
5,23,1,1,3,1,1,2,5745
3,33,1,1,5,3,0,0,0
1,62,2,1,2,2,3,0,0
1,59,2,1,2,3,0,0,18192.5
1,62,1,1,2,2,1,0,42130
1,65,2,1,2,2,0,1,63195
1,30,1,1,3,1,2,1,24895
1,32,2,1,4,1,2,2,28725
1,40,2,1,3,2,0,1,63195
5,25,2,3,1,1,0,2,6894
3,53,1,1,2,2,1,1,76600
2,72,2,1,1,1,2,0,14362.5
1,26,2,1,2,1,1,1,178712.4649
5,33,1,1,2,2,0,2,34470
1,65,2,1,2,3,0,0,0
1,40,2,1,2,2,3,0,4979
1,32,1,3,2,2,0,0,63195
3,52,1,1,1,3,0,0,8617.5
1,50,2,1,2,1,1,1,34470
1,70,2,1,2,1,0,2,0
1,73,2,1,2,2,3,0,0
3,53,2,1,1,2,1,1,51705
2,72,2,1,2,2,0,1,8617.5
1,66,1,1,2,2,3,1,76600
2,89,1,1,1,2,0,0,0
1,63,2,2,2,2,2,0,12447.5
1,26,2,1,2,1,0,1,63195
4,43,1,3,2,2,3,1,5745
1,56,1,2,2,1,0,2,34470
1,69,2,2,2,2,3,0,0
1,27,2,1,4,1,2,1,51705
1,43,2,1,4,1,1,1,178712.4649
2,82,2,1,1,2,0,0,5745
1,53,2,2,2,1,2,1,42130
1,39,2,2,4,2,2,2,42130
1,51,2,1,2,1,0,1,51705
1,63,2,1,2,1,0,0,16277.5
1,43,2,1,4,2,0,1,76600
5,38,2,2,4,1,1,2,21065
1,41,2,1,3,2,4,1,383
4,68,2,2,1,2,3,0,4979
5,23,2,1,3,1,0,2,21065
1,77,1,1,2,2,3,0,34470
1,30,2,3,3,1,0,1,51705
5,27,1,2,5,1,1,1,1532
5,49,1,1,1,3,4,2,1532
1,36,1,1,3,1,1,1,51705
4,67,1,1,2,1,4,0,16277.5
3,70,1,2,1,1,1,0,383
1,43,2,1,2,2,4,3,18192.5
3,58,2,1,1,2,2,4,10532.5
5,35,2,2,5,3,0,2,16277.5
5,27,2,2,4,3,0,1,8617.5
5,32,2,2,3,2,2,2,3447
5,40,2,2,1,2,3,0,18192.5
1,54,2,1,2,2,0,1,1532
3,73,2,2,1,2,3,0,5745
2,55,2,2,1,2,4,2,4979
5,23,2,2,2,2,0,0,8617.5
5,21,1,2,3,2,2,2,34470
5,20,1,3,4,2,0,0,0
1,47,2,1,5,2,2,0,42130
1,62,1,1,2,2,2,1,51705
5,31,1,1,3,2,0,4,91920
1,64,1,1,2,2,0,0,28725
1,52,2,2,3,3,0,0,21065
1,83,2,1,2,1,3,0,42130
3,56,1,1,2,1,2,1,34470
1,30,1,2,4,1,0,2,63195
1,61,2,1,2,2,1,2,51705
1,75,2,1,2,1,0,0,107240
1,73,1,1,2,2,4,0,63195
1,68,1,1,2,2,2,0,0
2,69,1,1,1,1,2,0,0
1,52,2,1,2,1,0,1,178712.4649
3,59,2,1,1,2,3,0,8617.5
5,39,1,2,1,2,0,0,0
5,57,2,2,1,3,3,0,0
1,63,2,1,2,2,1,1,0
5,29,1,2,4,2,3,1,0
5,19,2,2,5,1,0,1,10532.5
1,30,1,1,5,1,3,2,14362.5
1,38,2,1,2,2,1,2,28725
1,28,1,1,2,1,0,1,28725
3,41,2,1,2,2,0,0,16277.5
3,56,1,2,1,2,3,2,34470
5,24,1,1,2,2,0,2,2681
3,58,2,2,1,2,2,2,42130
5,28,1,2,2,2,2,1,0
2,55,2,1,2,3,2,0,0
3,41,2,1,2,2,2,1,24895
5,29,1,2,2,2,1,3,18192.5
1,65,2,1,2,2,3,0,34470
2,64,2,1,1,1,3,0,0
1,41,2,1,3,2,1,1,34470
3,39,1,1,6,3,2,1,28725
5,29,1,1,3,2,2,2,34470
1,54,1,2,2,2,2,0,34470
3,47,2,1,2,1,2,1,42130
1,44,2,1,2,1,1,1,34470
3,24,2,2,3,2,0,1,21065
1,33,2,1,2,1,0,2,51705
1,60,2,1,2,1,2,1,178712.4649
1,60,1,1,2,1,3,1,178712.4649
1,53,1,1,2,3,0,1,178712.4649
5,19,1,1,3,1,2,2,0
1,46,2,1,2,2,1,1,178712.4649
2,84,1,1,1,0,0,0,0
5,37,2,2,3,2,0,3,24895
5,35,2,1,2,1,1,2,383
1,60,2,1,2,3,3,0,76600
5,46,2,1,1,2,3,3,16277.5
5,26,1,1,1,2,0,2,12447.5
5,31,1,1,1,2,1,4,8617.5
1,67,2,1,2,2,2,0,178712.4649
1,67,2,1,2,1,1,0,91920
1,88,1,1,2,2,3,0,0
1,40,2,1,4,2,0,3,63195
1,70,2,1,1,1,2,0,51705
1,44,2,1,6,3,0,3,34470
1,39,1,3,4,1,3,1,63195
1,65,1,1,2,2,3,0,51705
5,33,2,2,3,2,2,3,8617.5
1,63,1,1,2,3,0,0,28725
5,31,1,2,1,3,3,2,24895
5,23,2,2,2,1,1,1,0
1,71,2,1,3,2,2,0,42130
1,32,1,2,5,2,0,2,34470
3,52,2,1,1,2,1,1,34470
2,77,2,1,1,3,3,0,10532.5
1,63,2,1,2,2,0,3,63195
3,42,1,1,1,2,0,2,34470
1,52,2,1,3,2,2,4,76600
1,70,2,1,2,2,3,0,0
5,23,2,1,3,3,2,2,4979
2,84,1,1,1,1,2,0,34470
1,30,1,1,3,2,1,1,28725
5,59,1,2,1,2,0,0,0
1,61,2,1,2,2,0,2,28725
3,37,1,1,7,1,2,1,12447.5
1,41,2,1,3,1,2,1,51705
2,55,2,1,1,3,0,0,10532.5
1,31,2,1,4,2,4,0,12447.5
5,21,1,1,2,1,0,1,383
5,28,2,1,3,2,1,2,34470
5,35,1,1,1,2,2,3,28725
1,52,1,1,5,1,0,1,178712.4649
1,63,1,2,1,2,0,2,10532.5
3,46,2,2,2,2,2,0,8617.5
3,64,1,1,1,2,0,1,28725
1,29,2,2,4,2,2,3,34470
1,41,2,2,2,2,0,2,63195
3,60,2,2,8,2,2,4,34470
1,38,1,1,6,1,0,2,12447.5
2,81,2,1,2,2,4,1,8617.5
3,52,1,1,5,2,0,0,28725
1,62,2,1,2,1,2,2,0
3,46,1,1,2,2,0,2,28725
5,27,1,1,2,2,2,4,6894
1,43,1,1,4,2,2,2,178712.4649
1,48,2,1,2,2,0,4,34470
5,37,2,2,2,2,2,0,5745
1,55,1,1,2,2,1,1,0
5,19,1,1,4,2,2,0,0
1,59,2,1,2,2,0,0,76600
5,37,2,2,1,1,0,1,0
2,0,2,1,1,1,2,0,16277.5
1,37,2,1,4,1,1,1,178712.4649
1,47,2,2,1,2,2,2,178712.4649
1,77,2,2,2,1,2,1,28725
5,21,1,1,1,2,3,1,5745
2,71,2,2,1,2,0,0,16277.5
1,59,2,2,2,2,3,2,0
1,28,2,2,2,1,0,1,21065
1,57,1,1,2,1,2,1,76600
5,37,1,3,1,2,2,1,51705
5,37,1,2,4,2,0,1,42130
5,49,1,2,1,2,2,0,5745
3,63,1,2,1,1,3,2,51705
5,22,1,2,7,3,3,4,383
5,45,1,2,2,3,3,3,63195
2,82,2,2,1,2,0,0,28725
3,59,2,2,1,3,2,0,63195
5,41,1,2,1,3,3,0,12447.5
3,47,2,1,4,3,4,2,21065
5,29,2,1,4,2,2,3,383
3,52,1,1,1,2,0,1,8617.5
5,24,2,1,2,2,1,2,0
2,72,2,2,1,2,2,0,10532.5
1,52,2,2,2,1,2,1,24895
1,54,1,1,2,2,4,1,51705
3,61,2,1,2,2,1,1,76600
1,37,2,1,4,3,0,1,107240
1,65,2,1,2,1,1,1,178712.4649
1,33,2,1,3,2,0,1,178712.4649
3,64,2,1,1,2,2,1,42130
1,52,1,2,2,1,2,1,91920
1,71,2,1,2,1,3,0,51705
3,65,2,2,1,2,0,1,28725
5,19,2,2,5,2,0,0,4979
1,60,1,2,2,1,2,0,51705
3,60,1,1,2,3,1,0,24895
5,25,2,2,1,2,3,2,21065
1,51,1,1,2,1,2,2,76600
1,66,2,1,2,2,1,0,51705
3,68,1,1,1,2,3,0,24895
3,52,1,1,1,2,2,2,12447.5
5,37,2,1,2,2,2,2,42130
2,87,2,1,1,2,0,0,0
5,26,1,1,2,1,2,0,14362.5
1,76,2,1,2,2,0,0,63195
1,47,2,1,5,2,2,0,178712.4649
3,52,1,1,3,2,0,3,42130
1,68,1,3,2,2,0,2,91920
1,53,2,1,2,1,2,1,0
2,60,2,1,1,2,0,1,4213
5,30,1,1,4,2,1,1,42130
2,82,1,1,1,2,0,0,21065
1,34,2,1,6,1,2,1,16277.5
1,65,2,1,2,1,4,0,0
3,57,1,1,1,2,0,1,34470
5,65,2,1,1,1,2,1,24895
1,73,1,1,2,2,0,0,24895
1,50,2,1,2,1,1,1,51705
3,41,1,1,1,2,2,1,8617.5
1,44,1,1,4,2,2,1,0
3,74,1,1,1,3,0,0,0
5,19,1,1,2,2,1,2,51705
2,69,1,1,2,2,2,2,34470
1,62,1,1,2,2,3,1,42130
1,28,2,1,3,3,0,0,24895
4,44,1,1,3,2,4,1,178712.4649
1,66,2,1,2,1,4,1,12447.5
1,84,1,1,2,2,0,0,14362.5
1,29,2,1,4,2,2,0,21065
1,87,1,1,2,2,3,0,21065
1,75,1,1,2,1,1,0,0
3,47,2,1,1,2,2,0,4979
2,86,2,1,1,2,2,0,10532.5
4,55,1,1,2,2,1,2,34470
1,76,2,1,2,2,0,1,21065
2,84,2,1,3,2,2,0,0
2,80,2,1,1,2,2,2,0
1,63,1,1,2,1,4,0,0
1,42,2,1,2,3,0,1,63195
1,59,2,1,2,1,2,0,76600
1,55,2,1,2,2,0,2,76600
1,44,2,1,3,2,3,2,178712.4649
1,50,2,1,3,2,2,2,91920
1,47,1,1,2,1,1,1,178712.4649
1,51,1,1,2,2,0,1,51705
3,50,2,1,1,2,0,4,18192.5
1,70,1,1,2,2,3,0,51705
1,30,1,1,2,2,0,1,76600
5,25,2,1,1,2,1,0,12447.5
5,25,1,1,3,3,0,0,63195
3,54,2,2,1,2,2,2,6894
3,68,2,1,1,2,3,0,18192.5
3,47,1,1,2,2,2,2,28725
2,88,2,1,1,1,2,0,178712.4649
1,77,1,1,2,1,0,2,24895
5,28,2,1,1,2,1,2,42130
1,58,1,1,2,1,3,2,14362.5
3,60,2,1,2,2,0,1,28725
1,62,1,1,2,1,1,0,28725
1,38,2,1,2,1,2,3,51705
5,25,2,2,1,2,3,3,1532
5,34,2,2,2,3,0,1,14362.5
2,89,1,1,1,3,3,0,16277.5
5,36,1,1,5,3,3,1,1532
1,53,2,1,2,2,0,1,63195
1,46,1,2,2,3,3,4,34470
2,69,2,1,1,3,2,1,34470
4,63,2,1,1,3,3,0,0
5,59,2,1,1,1,1,1,34470
5,19,2,1,3,1,0,4,0
1,26,2,3,2,2,1,2,63195
1,42,2,1,4,1,2,1,21065
1,52,2,1,1,2,2,1,34470
5,31,1,2,3,2,0,2,0
1,46,2,1,5,2,2,1,21065
5,18,1,3,1,2,2,0,0
1,26,2,1,4,1,0,1,51705
3,40,2,1,1,1,2,1,24895
1,33,1,1,4,1,0,1,42130
1,57,1,1,2,2,0,0,51705
5,20,2,2,1,1,1,0,8617.5
1,42,2,1,2,1,0,1,63195
1,41,1,1,4,2,1,2,178712.4649
2,73,2,1,1,2,0,0,10532.5
5,21,1,1,4,1,1,0,0
5,21,2,1,4,2,2,0,1532
1,45,2,1,2,2,0,2,34470
5,21,1,1,2,1,1,0,5745
3,68,2,1,1,1,0,0,8617.5
5,46,2,1,1,1,1,1,107240
3,53,1,1,2,2,0,1,24895
3,28,1,1,4,2,2,2,24895
3,34,1,1,3,2,0,1,91920
3,68,2,1,1,2,3,0,14362.5
3,43,1,1,2,2,0,2,8617.5
3,42,2,1,2,0,4,4,5745
1,59,1,1,2,1,2,2,63195
3,57,2,1,1,2,0,1,34470
5,24,2,1,5,3,2,3,14362.5
1,40,2,1,4,1,0,1,28725
1,41,2,1,4,1,2,1,76600
3,59,1,1,1,1,0,1,51705
1,64,1,1,2,2,4,0,51705
1,55,2,1,2,2,0,1,51705
1,55,1,1,2,2,1,1,76600
1,35,1,2,3,2,2,2,51705
5,33,1,1,3,3,0,0,0
1,83,1,1,2,1,1,0,51705
1,48,2,1,2,3,2,2,107240
1,68,2,1,2,2,2,0,34470
5,60,1,1,1,2,2,1,14362.5
4,38,2,1,3,2,0,1,10532.5
5,24,1,1,2,2,2,3,18192.5
1,77,1,1,2,2,0,0,24895
3,46,2,1,2,1,2,0,21065
5,83,2,1,1,2,0,0,51705
