marital,age,sex,race,hompop,happy,health,satjob,fincome
4,50,1,3,1,1,1,1,51705
5,47,1,2,1,2,2,3,51705
3,65,2,1,1,2,1,2,51705
1,62,1,1,2,2,0,2,63195
5,18,2,3,2,2,3,0,0
5,40,2,1,1,3,0,0,8617.5
5,28,2,3,2,2,1,2,34470
5,24,1,3,2,2,0,2,42130
1,40,1,1,1,2,2,2,76600
2,77,2,3,1,1,0,0,6894
5,24,2,1,1,1,1,1,0
5,21,2,3,2,2,1,0,1532
5,22,2,1,2,1,1,0,6894
5,24,1,1,3,1,0,0,383
5,22,1,3,3,1,2,1,76600
5,21,1,1,4,1,0,1,0
3,67,1,1,1,2,2,0,24895
1,32,2,1,2,1,0,1,63195
1,38,1,3,5,2,1,3,34470
1,55,2,1,2,2,2,2,107240
3,40,1,1,2,3,2,2,42130
1,38,1,1,4,1,2,1,91920
3,52,1,1,2,2,2,1,63195
1,34,2,2,4,2,0,2,91920
5,22,2,1,5,2,0,2,8617.5
1,56,1,1,4,1,1,1,178712.4649
3,60,2,1,5,2,2,1,4979
1,39,1,3,5,1,3,2,178712.4649
1,33,2,1,2,2,2,2,91920
1,67,1,1,6,2,0,0,0
3,51,1,1,1,2,2,1,63195
1,65,1,1,2,3,3,2,76600
5,42,2,1,1,2,0,1,42130
1,65,2,1,2,3,0,2,34470
1,25,2,2,4,1,2,0,16277.5
2,36,2,1,2,2,0,2,107240
3,38,2,3,4,1,2,1,24895
5,18,1,3,3,2,2,0,42130
5,38,1,1,2,1,2,1,24895
1,41,2,3,3,1,2,1,178712.4649
5,20,1,1,2,2,2,2,76600
3,39,1,1,2,2,0,2,107240
1,25,2,1,4,2,1,0,34470
1,57,1,1,4,2,0,2,28725
1,61,2,2,2,2,2,3,76600
5,31,1,3,1,2,2,2,34470
5,62,2,1,1,2,2,0,0
5,30,1,1,1,1,2,1,28725
2,68,2,1,1,1,2,1,21065
1,50,1,1,2,2,3,1,28725
5,27,1,3,3,2,3,2,34470
5,30,1,2,2,2,1,2,51705
1,65,2,3,2,2,2,2,91920
1,65,2,1,2,2,0,2,178712.4649
1,36,1,1,4,2,1,3,63195
1,72,1,1,2,3,0,0,34470
1,27,2,1,3,2,2,2,0
1,22,1,1,4,1,1,2,16277.5
1,33,2,3,5,2,0,2,16277.5
1,35,1,1,6,2,1,2,16277.5
1,54,2,1,2,1,2,1,76600
5,18,1,3,7,1,2,0,8617.5
5,38,2,1,1,2,3,1,8617.5
1,67,2,1,2,2,1,1,51705
1,48,1,1,2,2,0,3,34470
1,64,1,2,2,2,1,0,63195
2,89,2,1,1,2,3,0,0
1,48,2,1,2,1,0,2,34470
1,44,2,1,2,1,3,2,0
1,42,1,1,2,2,2,1,91920
1,26,2,2,2,1,0,1,383
3,68,2,2,1,1,2,1,10532.5
5,61,2,2,2,1,2,1,42130
1,34,1,2,3,1,0,1,63195
1,35,2,1,5,1,2,0,10532.5
5,53,1,2,2,2,2,2,107240
5,32,1,1,2,1,2,1,0
1,61,1,3,3,2,3,0,34470
1,28,1,3,3,2,3,2,18192.5
1,39,1,1,2,1,0,1,51705
1,61,1,1,2,1,2,1,178712.4649
1,65,1,1,2,2,0,1,0
1,34,1,1,2,1,2,1,107240
2,87,1,1,1,2,2,0,0
5,24,1,1,2,2,1,0,34470
5,39,2,1,2,2,2,1,34470
1,76,2,1,4,2,0,0,0
5,32,1,1,2,3,2,3,42130
1,54,2,1,4,2,0,1,63195
5,55,2,1,2,3,2,3,10532.5
1,53,2,1,5,2,3,1,178712.4649
5,62,1,2,1,2,2,2,24895
1,39,1,3,5,3,0,3,12447.5
5,30,2,3,4,2,2,2,42130
2,89,2,2,1,2,2,0,5745
5,30,1,2,4,1,0,2,24895
1,35,2,1,5,1,3,2,34470
1,73,2,1,2,1,0,0,51705
1,69,2,1,2,2,2,0,63195
2,89,2,1,1,2,0,0,24895
1,55,1,1,2,1,2,3,178712.4649
2,78,2,1,1,2,3,0,18192.5
1,43,1,1,4,2,2,2,178712.4649
2,68,2,1,1,1,0,0,91920
1,71,1,1,2,1,1,2,76600
1,47,2,1,4,1,2,1,178712.4649
3,68,2,1,1,2,0,0,28725
1,76,2,1,2,2,3,0,24895
1,55,1,1,2,1,0,1,107240
3,49,2,1,2,1,2,1,42130
3,68,2,1,1,2,3,3,51705
3,47,1,1,2,1,2,1,63195
1,59,1,1,3,1,0,0,63195
1,74,2,1,2,2,3,0,24895
1,71,1,1,2,2,0,3,34470
5,32,2,1,2,2,2,1,107240
5,30,1,1,1,1,0,1,42130
1,38,2,1,3,1,2,1,178712.4649
1,41,2,1,3,2,1,2,107240
1,62,2,1,2,1,0,0,91920
4,49,1,1,1,2,1,1,63195
3,52,2,1,2,2,0,1,76600
1,61,2,1,2,3,1,0,76600
5,52,1,1,2,2,1,3,178712.4649
1,33,1,1,6,2,2,1,178712.4649
2,65,2,1,1,2,3,2,21065
5,55,1,2,5,3,1,1,0
1,45,2,2,6,1,1,1,107240
1,35,1,3,5,2,1,2,28725
4,36,2,2,4,2,0,2,8617.5
1,43,2,2,5,1,1,4,51705
3,83,1,1,1,3,0,0,28725
3,64,1,2,1,3,0,0,10532.5
1,38,1,1,2,2,0,2,76600
5,25,1,2,2,2,3,2,34470
1,81,1,1,2,3,4,0,51705
3,23,2,1,5,3,1,4,0
5,21,2,1,4,3,4,1,28725
1,56,2,1,2,2,3,1,91920
5,30,2,1,5,2,0,2,21065
2,69,1,1,1,3,4,0,28725
1,62,2,1,2,2,3,1,0
1,39,1,1,2,2,2,3,107240
5,25,1,1,1,3,3,2,3447
5,75,1,2,1,3,0,0,42130
1,46,1,1,4,2,2,2,178712.4649
3,57,1,2,3,3,3,0,0
5,20,1,2,3,2,1,0,63195
3,53,2,2,2,2,2,2,76600
1,53,1,1,2,2,2,3,178712.4649
1,42,2,2,2,1,0,1,28725
1,63,1,1,2,1,1,1,178712.4649
1,55,1,1,2,2,3,1,178712.4649
1,54,1,1,4,1,1,1,178712.4649
1,77,1,1,2,1,2,1,178712.4649
4,48,2,2,2,0,2,1,28725
1,52,2,1,5,2,0,2,34470
1,31,1,2,5,2,1,1,42130
1,57,2,2,2,2,0,2,24895
5,21,1,1,3,3,0,2,6894
5,50,2,2,4,2,3,2,28725
1,38,2,1,5,1,1,3,178712.4649
1,33,1,3,2,1,2,1,51705
1,26,1,1,2,1,2,0,51705
5,33,2,1,1,3,3,0,8617.5
5,44,2,2,1,2,2,2,42130
5,25,1,1,1,2,1,1,51705
5,27,2,1,2,2,1,1,34470
5,27,1,1,2,1,0,2,12447.5
5,28,2,1,2,1,1,2,107240
5,22,1,1,1,1,0,2,28725
1,48,2,1,4,2,3,1,107240
3,89,1,1,1,3,3,0,18192.5
1,49,2,1,4,2,2,2,76600
2,87,2,1,1,2,4,0,6894
