Time
155.24
143.46
140.37
152.29
188.01
151.13
124.81
191.16
163.37
150.9
168.15
153.39
157.07
179.25
149.38
144.83
147.17
140.74
169.98
182.83
186.87
164.76
133.79
180.65
155.97
